Player,Owner,Team,Pos
Aaron Judge,Fear the Beer,NYY,OF
Aaron Nola,Levittown LumberJacks,PHI,SP
Abner Uribe,Renegades,MIL,RP
Adael Amador,Levittown LumberJacks,COL,2B
Adam Frazier,Halifax,LAA,"2B,OF"
Addison Barger,Lemon Law Lineup,TOR,"3B,OF"
Adley Rutschman,Fear the Beer,BAL,C
Adolis Garcia,Halifax,PHI,OF
Adrian Houser,Halifax,SF,SP
Adrian Morejon,The Jackson 54,SD,RP
Agustin Ramirez,Fear the Beer,MIA,C
Aidan Miller,Levittown LumberJacks,PHI,SS
Aidan Smith,Lemon Law Lineup,TB,OF
Alec Bohm,Diamond Kings 2.0,PHI,"1B,3B"
Alec Burleson,Bo-Peeps Gentleman's Club,STL,"1B,OF"
Alejandro Kirk,Halifax,TOR,C
Alex Bregman,Quality Start,CHC,3B
Alex Clemmey,Renegades,WAS,SP
Alex Freeland,Buck Dynasty,LAD,"2B,3B"
Alfredo Duno,Diamond Kings 2.0,CIN,C
Andres Munoz,O'Doyle Rulez,SEA,RP
Andrew Abbott,Soylent Green Oreos,CIN,SP
Andrew Painter,Lemon Law Lineup,PHI,SP
Andrew Salas,Soylent Green Oreos,MIA,OF
Andrew Vaughn,Renegades,MIL,1B
Andy Pages,O'Doyle Rulez,LAD,OF
Angel Genao,Levittown LumberJacks,CLE,SS
Anthony Volpe,Halifax,NYY,SS
Arjun Nimmala,Buck Dynasty,TOR,SS
Aroldis Chapman,Bo-Peeps Gentleman's Club,BOS,RP
Austin Riley,Fear the Beer,ATL,3B
Austin Wells,Levittown LumberJacks,NYY,C
Bailey Ober,Fear the Beer,MIN,SP
Ben Brown,Renegades,CHC,"SP,RP"
Ben Rice,Lemon Law Lineup,NYY,"C,1B"
Blake Snell,Buck Dynasty,LAD,SP
Blaze Alexander,Bo-Peeps Gentleman's Club,BAL,"2B,3B"
Bo Bichette,Fear the Beer,NYM,SS
Bo Naylor,Lemon Law Lineup,CLE,C
Bobby Witt,The Jackson 54,KC,SS
Braden Montgomery,Halifax,CHW,OF
Brady House,Levittown LumberJacks,WAS,3B
Brady Singer,Levittown LumberJacks,CIN,SP
Brailer Guerrero,Buck Dynasty,TB,OF
Brandon Clarke,Renegades,STL,SP
Brandon Lowe,Buck Dynasty,PIT,2B
Brandon Nimmo,O'Doyle Rulez,TEX,OF
Brandon Pfaadt,Quality Start,ARI,SP
Brandon Sproat,Quality Start,MIL,SP
Brandon Walter,The Jackson 54,HOU,SP
Brandon Winokur,The Jackson 54,MIN,OF
Brandon Woodruff,The Jackson 54,MIL,SP
Brant Hurter,Bo-Peeps Gentleman's Club,DET,RP
Braxton Ashcraft,Renegades,PIT,"SP,RP"
Brayan Bello,Diamond Kings 2.0,BOS,SP
Brayden Taylor,O'Doyle Rulez,TB,3B
Braylon Payne,Quality Start,MIL,OF
Brendan Donovan,Diamond Kings 2.0,SEA,"2B,OF"
Brent Rooker,Quality Start,ATH,OF
Brenton Doyle,Halifax,COL,OF
Brett Baty,O'Doyle Rulez,NYM,"2B,3B"
Brice Matthews,O'Doyle Rulez,HOU,2B
Brice Turang,Soylent Green Oreos,MIL,2B
Brock Wilken,O'Doyle Rulez,MIL,3B
Brody Hopkins,Buck Dynasty,TB,SP
Bryan Abreu,Lemon Law Lineup,HOU,RP
Bryan Reynolds,Fear the Beer,PIT,OF
Bryan Woo,Halifax,SEA,SP
Bryce Cunningham,Soylent Green Oreos,NYY,SP
Bryce Eldridge,Buck Dynasty,SF,DH
Bryce Harper,Buck Dynasty,PHI,1B
Bryce Miller,Lemon Law Lineup,SEA,SP
Bryce Rainer,Diamond Kings 2.0,DET,SS
Bryson Stott,Renegades,PHI,"2B,SS"
Bubba Chandler,Renegades,PIT,SP
Byron Buxton,Soylent Green Oreos,MIN,OF
CJ Abrams,Diamond Kings 2.0,WAS,SS
C.J. Kayfus,Renegades,CLE,"1B,OF"
Cade Cavalli,Soylent Green Oreos,WAS,SP
Cade Horton,Renegades,CHC,SP
Cade Smith,Diamond Kings 2.0,CLE,RP
