Rank,Player,Team,Pos,Tier,ADP,Notes
1.29,Shohei Ohtani,LAD,"U,SP",,,
2.14,Bobby Witt,KC,SS,,,
3.43,Juan Soto,NYM,OF,,,
5.29,Corbin Carroll,ARI,OF,,,
7.29,Elly De La Cruz,CIN,SS,,,
7.71,Ronald Acuna,ATL,OF,,,
8.57,Paul Skenes,PIT,SP,,,
9.00,Aaron Judge,NYY,OF,,,
9.57,Tarik Skubal,DET,SP,,,
9.71,Julio Rodriguez,SEA,OF,,,
11.29,Junior Caminero,TB,3B,,,
12.29,Gunnar Henderson,BAL,SS,,,
12.57,Nick Kurtz,ATH,1B,,,
13.57,Fernando Tatis,SD,OF,,,
15.71,Garrett Crochet,BOS,SP,,,
16.86,Jackson Chourio,MIL,OF,,,
17.29,Vladimir Guerrero,TOR,1B,,,
18.71,Jose Ramirez,CLE,3B,,,
18.86,Kyle Tucker,LAD,OF,,,
20.86,James Wood,WAS,OF,,,
21.00,Roman Anthony,BOS,OF,,,
22.57,Konnor Griffin,PIT,SS,,,
24.14,Cal Raleigh,SEA,C,,,
25.57,Wyatt Langford,TEX,OF,,,
26.29,Francisco Lindor,NYM,SS,,,
28.43,Pete Crow-Armstrong,CHC,OF,,,
28.86,Zach Neto,LAA,SS,,,
29.57,Yoshinobu Yamamoto,LAD,SP,,,
29.71,Jazz Chisholm,NYY,"2B,3B",,,
30.43,Yordan Alvarez,HOU,OF,,,
31.43,Hunter Brown,HOU,SP,,,
33.43,Ketel Marte,ARI,2B,,,
34.43,Pete Alonso,BAL,1B,,,
35.14,Kevin McGonigle,DET,SS,,,
35.29,Logan Gilbert,SEA,SP,,,
37.86,Kyle Schwarber,PHI,DH,,,
38.14,Jackson Merrill,SD,OF,,,
39.14,Cristopher Sanchez,PHI,SP,,,
40.43,Rafael Devers,SF,1B,,,
41.29,Riley Greene,DET,OF,,,
41.86,CJ Abrams,WAS,SS,,,
44.00,Hunter Greene,CIN,SP,,,
44.57,Trea Turner,PHI,SS,,,
44.71,Jesus Made,MIL,SS,,,
47.29,Bryan Woo,SEA,SP,,,
49.00,Eury Perez,MIA,SP,,,
51.43,Bryce Harper,PHI,1B,,,
53.71,Manny Machado,SD,3B,,,
54.00,Matt Olson,ATL,1B,,,
55.86,Mookie Betts,LAD,SS,,,
57.40,Leo De Vries,ATH,SS,,,
59.86,Josh Naylor,SEA,1B,,,
61.00,Cole Ragans,KC,SP,,,
61.14,Samuel Basallo,BAL,C,,,
61.71,Logan Webb,SF,SP,,,
63.29,Spencer Schwellenbach,ATL,SP,,,
63.43,Brent Rooker,ATH,OF,,,
63.43,Joe Ryan,MIN,SP,,,
64.71,JJ Wetherholt,STL,SS,,,
65.14,Jackson Holliday,BAL,2B,,,
66.00,Leodalis De Vries,,,,,
66.14,George Kirby,SEA,SP,,,
66.57,Sebastian Walcott,TEX,SS,,,
68.14,Austin Riley,ATL,3B,,,
69.86,Chase Burns,CIN,SP,,,
70.14,Freddy Peralta,NYM,SP,,,
71.29,Maikel Garcia,KC,"2B,3B,SS",,,
71.86,Jarren Duran,BOS,OF,,,
72.00,Corey Seager,TEX,SS,,,
72.00,Jeremy Pena,HOU,SS,,,
74.43,Max Fried,NYY,SP,,,
74.71,William Contreras,MIL,C,,,
75.57,Bo Bichette,NYM,SS,,,
